,0
1506,0.3
1507,0
1508,0
1509,0.9
1510,0.3
1511,1.2
1512,0.9
1513,0
1514,0.6
1515,0.3
1516,0.9
1517,0.3
1518,0
1519,0.3
1520,0.6
1521,0
1522,0.3
1523,0.6
1524,0.3
1525,0.6
1526,0.9
1527,0.3
1528,0.6
1529,0.9
1530,0.3
1531,0.9
1532,0
1533,0.3
1534,0
1535,0.6
1536,0
1537,0
1538,0.9
1539,0
1540,0.6
1541,0
1542,0.6
1543,0.3
1544,0.3
1545,0.9
1546,0.6
1547,0.9
1548,0.3
1549,0
1550,0
1551,0.9
1552,0.6
1553,0.3
1554,0.6
1555,0.3
1556,0
1557,0.6
1558,0.9
1559,0.6
1560,0
1561,0.6
1562,0.6
1563,0.9
1564,0.3
1565,0
1566,0.6
1567,0.3
1568,0.9
1569,0.3
1570,0.6
1571,0.6
1572,0.9
1573,0.9
1574,0.3
1575,0.3
1576,0.9
1577,0.9
1578,0.3
1579,0.9
1580,0.9
1581,0
1582,0.3
1583,0.3
1584,0.3
1585,0
1586,1.2
1587,0
1588,0.9
1589,0.3
1590,0.6
1591,0.3
1592,0.3
1593,0.3
1594,0.3
1595,0.6
1596,0.3
1597,0.9
1598,0
1599,0.6
1600,0.3
1601,0
1602,0.3
1603,0.9
1604,0.3
1605,0.9
1606,0
1607,0.6
1608,0
1609,1.2
1610,1.2
1611,0.6
1612,0.3
1613,0.9
1614,0.6
1615,0.9
1616,0.3
1617,0.6
1618,0
1619,0.3
1620,0
1621,0.6
1622,0
1623,0.6
1624,0.3
1625,0.6
1626,0.6
1627,0.6
1628,0
1629,0.9
1630,0.3
1631,0.9
1632,0.6
1633,0.9
1634,0.6
1635,0.3
1636,0.9
1637,0
1638,0.9
1639,0
1640,0.9
1641,0.6
1642,0.6
1643,0
1644,0.6
1645,0
1646,0.3
1647,0.6
1648,0.6
1649,0.9
1650,0.6
1651,0.6
1652,0.9
1653,0.3
1654,0.9
1655,0.3
1656,0.3
1657,0.3
1658,0.9
1659,0.3
1660,0.6
1661,0
1662,0
1663,0.3
1664,0
1665,0
1666,0.9
1667,0
1668,0.9
1669,0.9
1670,0.9
1671,0
1672,0.6
1673,0
1674,0.6
1675,0.3
1676,0
1677,0.6
1678,0.6
1679,0.9
1680,0.9
1681,1.2
1682,0
1683,0.3
1684,1.2
1685,0.9
1686,0
1687,0.9
1688,0.9
1689,0
1690,0.3
1691,0.3
1692,0.9
1693,0.3
1694,1.2
1695,0
1696,0
1697,0.6
1698,0.3
1699,0.6
1700,0
1701,0.3
1702,0.3
1703,0.3
1704,0.6
1705,0.6
1706,0.6
1707,0.3
1708,0.3
1709,0.9
1710,0
1711,0.3
1712,0.9
1713,1.2
1714,0.6
1715,0.6
1716,0.6
1717,0.3
1718,0.6
1719,0.9
1720,0
1721,0.6
1722,0
1723,0
1724,1.2
1725,0.6
1726,0.3
1727,0.6
1728,0.3
1729,0
1730,0.3
1731,0.9
1732,0.6
1733,0
1734,0.3
1735,0.9
1736,0.9
1737,0.6
1738,0.3
1739,0.9
1740,0.3
1741,0.6
1742,0.3
1743,0
1744,0.9
1745,0.9
1746,0
1747,1.2
1748,0.6
1749,0.9
1750,0.6
1751,0
1752,0
1753,0
1754,0
1755,0.3
1756,0.3
1757,0.9
1758,0.6
1759,0
1760,0
1761,0
1762,0.9
1763,0
1764,0.6
1765,0.6
1766,0.6
1767,0.9
1768,0.3
1769,0.6
1770,0.3
1771,0.9
1772,0.6
1773,0.6
1774,0.9
1775,0.9
1776,0.3
1777,0.9
1778,0.6
1779,0.3
1780,0.3
1781,0.6
1782,0.9
1783,1.2
1784,0.6
1785,0
1786,0.9
1787,0.9
1788,0
1789,0.6
1790,0.6
1791,0.6
1792,0.6
1793,0
1794,0.6
1795,0
1796,0.3
1797,0
1798,0.9
1799,0.3
1800,0.9
1801,0.6
1802,0.3
1803,0.9
1804,0.3
1805,0
1806,0.6
1807,0.6
1808,0
1809,0.3
1810,0.6
1811,0.6
1812,0.3
1813,0.9
1814,0.6
1815,0.6
1816,0
1817,0.6
1818,0.3
1819,0.9
1820,0.6
1821,0
1822,0.3
1823,0.6
1824,0.3
1825,0.3
1826,0.3
1827,0
1828,0.3
1829,0.3
1830,0.3
1831,0.6
1832,0.3
1833,0
1834,1.2
1835,0.3
1836,0.9
1837,0.9
1838,0.3
1839,0.3
1840,0.6
1841,0
1842,0.9
1843,1.2
1844,0
1845,0.3
1846,0
1847,0.9
1848,0.9
1849,0.6
1850,0.3
1851,0.6
1852,0.3
1853,0.6
1854,0
1855,1.2
1856,0.9
1857,1.2
1858,0.3
1859,0.9
1860,0.6
1861,0
1862,0.6
1863,0.9
1864,0.3
1865,0.9
1866,0.6
1867,0
1868,0.6
1869,0.6
1870,0.6
1871,0.3
1872,0
1873,1.2
1874,0.9
1875,0
1876,0.6
1877,0
1878,0
1879,0
1880,0.6
1881,0
1882,0
1883,0.6
1884,0.3
1885,0.3
1886,0
1887,0.6
1888,0.6
1889,0.3
1890,0.9
