global_step,episode_reward,episode_reward_mean_smooth,,t
,161.5,158.35,,122.117875
,162.6,162.05,,122.412605
,163.4,163,,122.719584
,159.8,161.6,,123.013225
,167.8,163.8,,123.292839
,166.9,167.35,,123.599836
,129.6,148.25,,123.853817
,128.3,128.95,,124.131465
,183.1,155.7,,124.460528
,167,175.05,,124.755273
,151,159,,125.040256
,175.3,163.15,,125.357814
,179.4,177.35,,125.699612
,182.5,180.95,,126.014455
,174.1,178.3,,126.323485
,152,163.05,,126.630379
,173.5,162.75,,126.964456
,162.3,167.9,,127.34072
,157.6,159.95,,127.685949
,173.6,165.6,,128.017438
,178.2,175.9,,128.337155
,173,175.6,,128.695139
,156.4,164.7,,129.009714
,156.7,156.55,,129.328528
,133.3,145,,129.609571
,173.2,153.25,,129.933828
,146,159.6,,130.200619
,152.2,149.1,,130.494495
,149.9,151.05,,130.791791
,161,155.45,,131.085199
,150.7,155.85,,131.358986
,157.1,153.9,,131.667029
,153.7,155.4,,131.959511
,159.8,156.75,,132.24855
,138.4,149.1,,132.51395
,126.7,132.55,,132.778287
,161.8,144.25,,133.070522
,162.2,162,,133.373076
,180.9,171.55,,133.712439
,172.1,176.5,,134.033509
,140.9,156.5,,134.294873
,180.9,160.9,,134.637715
,155.9,168.4,,134.943431
,181.2,168.55,,135.270478
,170.7,175.95,,135.593234
,145.3,158,,135.883654
,169.4,157.35,,136.192077
,153,161.2,,136.500388
,170.9,161.95,,136.818676
,171.1,171,,137.130291
,159.4,165.25,,137.415636
,167,163.2,,137.738189
,163.1,165.05,,138.038883
,163.9,163.5,,138.360473
,163.7,163.8,,138.667406
,181.9,172.8,,139.012836
,168.7,175.3,,139.306743
,169.9,169.3,,139.625605
,156.1,163,,139.932292
,146.9,151.5,,140.250134
,160.6,153.75,,140.542043
,165.9,163.25,,140.868641
,162.1,164,,141.158867
,159.3,160.7,,141.468642
,155.9,157.6,,141.768401
,191.4,173.65,,142.124245
,142,166.7,,142.400834
,166.2,154.1,,142.728788
,168.9,167.55,,143.048071
,166.2,167.55,,143.350055
,160.6,163.4,,143.65701
,152.2,156.4,,143.985074
,185.2,168.7,,144.311533
,178.2,181.7,,144.657254
,155.4,166.8,,144.969697
,153.6,154.5,,145.285755
,166.7,160.15,,145.602209
