#{"t_start": 1660484205.0263975, "env_id": null}
r,l,t
132.0,100,198.290639
115.98,100,198.705502
124.56,100,199.116475
118.04,100,199.489823
130.16,100,199.899086
97.38,100,200.32795
128.8,100,200.741105
120.38,100,201.13768
123.56,100,201.546852
121.06,100,201.9688
98.66,100,202.367634
122.98,100,202.736568
118.94,100,203.147665
123.58,100,203.535952
117.22,100,203.91914
115.16,100,204.331444
129.12,100,204.710481
120.7,100,205.079467
134.88,100,205.465575
119.08,100,205.836326
122.22,100,206.20721
124.24,100,206.569345
123.44,100,206.951626
102.92,100,207.325648
128.1,100,207.69578
118.62,100,208.091913
124.12,100,208.496119
119.3,100,208.90214
122.46,100,209.350418
124.14,100,209.756914
120.76,100,210.178917
111.68,100,210.576449
123.04,100,211.007657
124.52,100,211.405582
119.56,100,211.84879
137.2,100,212.250051
109.78,100,212.655656
120.22,100,213.09119
113.0,100,213.507115
134.28,100,213.910238
130.36,100,214.32941
105.98,100,214.742441
126.96,100,215.172818
131.86,100,215.563837
122.76,100,215.984323
138.3,100,216.390861
122.42,100,216.799347
124.84,100,217.197221
116.66,100,217.601288
120.64,100,217.997289
119.56,100,218.413624
140.34,100,218.808868
119.28,100,219.214002
123.06,100,219.607911
137.84,100,220.035483
123.88,100,220.429381
119.9,100,220.823427
122.6,100,221.25319
108.06,100,221.695456
121.42,100,222.117134
114.72,100,222.533986
111.86,100,222.935043
125.84,100,223.341141
112.02,100,223.741195
121.82,100,224.149797
120.36,100,224.578131
115.98,100,224.997552
131.8,100,225.388763
114.52,100,225.788073
124.62,100,226.166244
119.38,100,226.561847
121.16,100,226.951339
127.68,100,227.351896
110.1,100,227.722365
125.3,100,228.118773
133.88,100,228.485942
126.16,100,228.853576
123.44,100,229.238537
119.72,100,229.616509
117.1,100,229.986244
120.32,100,230.3574
121.86,100,230.727451
119.1,100,231.13351
121.58,100,231.51739
117.7,100,231.894093
125.1,100,232.284142
126.08,100,232.657962
114.98,100,233.033334
124.68,100,233.437534
135.18,100,233.805992
125.72,100,234.214133
122.54,100,234.589412
122.44,100,234.972163
116.32,100,235.363807
121.74,100,235.736324
125.94,100,236.114133
138.14,100,236.488963
118.9,100,236.844175
125.58,100,237.240462
130.28,100,237.611968
121.04,100,237.995976
110.78,100,238.393591
125.64,100,238.801032
126.46,100,239.190627
126.28,100,239.732967
116.52,100,240.442124
110.6,100,240.857243
132.84,100,241.28449
107.72,100,241.706004
124.0,100,242.105056
131.14,100,242.516078
129.06,100,242.90737
123.8,100,243.290389
129.4,100,243.672265
129.68,100,244.085381
115.86,100,244.468494
120.1,100,244.899021
135.62,100,245.261138
104.8,100,245.647674
115.86,100,246.041663
133.32,100,246.425258
128.98,100,246.809346
136.86,100,247.226022
127.06,100,247.608229
145.0,100,248.00807
131.02,100,248.41253
115.5,100,248.80139
111.54,100,249.204811
114.58,100,249.612063
120.4,100,250.007288
130.56,100,250.420752
115.18,100,250.813935
124.76,100,251.245755
121.04,100,251.661435
104.38,100,252.095404
124.02,100,252.502843
113.98,100,252.916276
126.4,100,253.316787
120.06,100,253.736664
110.44,100,254.141932
114.38,100,254.511512
120.02,100,254.914678
136.5,100,255.362261
132.06,100,255.783606
133.2,100,256.194668
139.84,100,256.606805
135.2,100,257.035718
124.52,100,257.437096
129.24,100,257.867605
129.1,100,258.27459
118.96,100,258.707249
124.98,100,259.108974
131.2,100,259.507712
120.8,100,259.908817
116.64,100,260.286494
131.96,100,260.643016
111.42,100,261.032022
109.36,100,261.444665
